"Image","사용자","게시날짜","게시한 글","기업","답변날짜","답변 내용"
"https://play-lh.googleusercontent.com/a-/ALV-UjXTe5LO8p4CvvRiJzpwSLK7n8k1NhyTA8-lpUSyUTZAzSMIeN3gMg=s32-rw","B (Jason.B)","2023년 7월 3일","패스오더를 알게된 후로 항상 커피는 운전할때 패스오더를 사용해서 픽업합니다. 엄청편해요. 좀더 개발할 여력이 있다면 빅스비캡슐을 이용하여 보다 쉽게 주문을 할 수있으면 좋겠네요. 아무래도 이어플은 재주문(단골) 에 특화하면 좋을거같아요. 그래서 빅스비캡슐로 더 편하게 주문하면 좋을거같구요","PaytaLab","2023년 7월 4일","안녕하세요, 패스오더입니다.

패스오더를 알게 된 이후로 쭉 사용 중이시라니..! 이보다 더 기분 좋은 말이 있을까요?!
계속해서 패스오더를 찾아 주실 수 있도록! 일상 속 편리함을 제공해 드릴 수 있도록! 저희가 더 열심히 노력하겠습니다:)

또, 말씀해 주신 것처럼 현재 내부적으로도 더 간편한 주문 방식 및 서비스 제공을 위해 고민하고 개선해 나가고 있는데요! 남겨 주신 의견도 유관 부서로 전달하여 추후 모든 면에서 100% 만족감을 드릴 수 있도록 노력하겠습니다!

그 외 서비스 관련 문의 및 피드백도 언제든 글 남겨 주시길 바라며, 귀 기울여 성장하는 패스오더가 되겠습니다. 감사합니다:)

-패스오더 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocI_HlinATHBxQY91KmBud0qKmO3RaIzJ6ZHyfwxpOCbiiRlMQ=s32-rw-mo","HYERI CHOE","2023년 6월 7일","잘 사용하고있습니다. 그런데 불편사항이 딱 하나 있습니다~ 패스머니 사용 시 일정금액 이하 내려가면 카드로도 자동충전이 될 수 있게 해주셨으면 좋겠습니다. 그점말고는 정말 잘 사용하고있습니다~","PaytaLab","2025년 9월 18일","안녕하세요, HYERI CHOE패써님!

오랜만에 인사드려요. 패스오더입니다:)
예전에 카드로 패스머니 충전이 가능하면 좋겠다고 말씀해주신 의견, 혹시 기억하실까요?

당시 남겨주신 의견을 바탕으로 이번에 카드 충전 기능이 업데이트 되어 안내차 연락드렸어요. 이제는 카드 결제를 통해 패스머니 충전이 가능하니 편리하게 활용해주시면 감사하겠습니다:)

그 외에도 이용 중 궁금하신 점이나 개선점 등은 언제든 말씀해주세요. 늘 패써님의 의견에 귀 기울여 더 나은 만족감을 드릴 수 있도록 노력하겠습니다. 요즘 아침저녁으로 일교차가 커지고 있는데, 건강 관리 유의하시길 바라며, 오늘도 기분 좋은 하루 보내세요. 감사합니다😊"
"https://play-lh.googleusercontent.com/a-/ALV-UjXECItWJ7TnnVeIsaRDDYJXqkoGYGwE-dMLlaqR7a05_Ewz51sGuA=s32-rw","이현지","2022년 3월 20일","출퇴근 하면서 유용하게, 만족스럽게 이용하고 있습니다. 다만, 매장포인트.. 유효기간이 너무 짧아요 ㅠㅠ 아 이제 아메리카노 한 잔 사먹겠다 생각들어서 조금 더 모아다가 다른거 마시려고 했는데 만료로 사라졌네요 ㅠㅠ 매장 포인트 유효기간을 늘려주실 수는 없을까요?","PaytaLab","2022년 3월 22일","안녕하세요 HYEONJI LEE 패써님. 패써지원팀 고민경입니다.

저희 서비스를 이용하시면서 불편함을 느끼신 부분에 대하여 죄송하다는 말씀드립니다. 포인트 유효기간이 짧게 느껴지셨군요. 아쉽게도 매장 자동적립(포인트/스탬프) 기능의 경우, 프랜차이즈 본사/매장별 적립정책에 맞추어 적용을 하고 있습니다. 사장님들께서 요청주신 것에 맞추어 세팅을 도와드리고 있는 점 양해해주시면 감사하겠습니다!

자동적립기능은 앞으로도 업데이트 해나갈 예정입니다. 패써님들께서 보다 편리하게 사용할 수 있도록 최선을 다하는 패스오더가 될게요. 소중한 피드백 남겨주셔서 정말 감사드립니다.

-패스오더, 패써지원팀 고민경 드림"
"https://play-lh.googleusercontent.com/a-/ALV-UjWmfpSY5l8puhv9vl_KkY06sN4gJr1AZAIkguHaTEBlypyGxqMNFw=s32-rw","김소쥐 (YomiRangu)","2023년 11월 29일","좋은데, 시킨매장 시킨메뉴 다시 시키는거, 쉽게 됐음 좋겠어요. 맨날 같은것만 먹어서... 단골매장 등록도 있으면 좋겠음, 만약 이미 있다면 잘 안보이는 거임.","PaytaLab","2023년 12월 6일","안녕하세요, 김소쥐 패써님 패스오더입니다.

단골 매장에 매일 먹는 메뉴가 있으신 패써님들을 위해 만들어진 재주문 기능을 사용해 보시면 어떠실까요? 앱 하단 [주문내역>재주문 할게요] 버튼을 클릭해 주시면 이전 내역 그대로 재주문 가능하니 많은 활용 부탁드립니다:)
또, 원하는 매장의 외관 사진>오른쪽 상단 뱃지를 클릭해 주시면 자주가요 목록에 추가되고, 이후에는 검색 없이도 앱 하단 [자주가요]에서 바로 확인하실 수 있어 이용에 참고 부탁드려요. 끝으로 여러 기능들이 더 쉽게 보여질 수 있도록 나은 방안에 대해서도 고민하고 보완해 나가겠습니다. 이용하시며 더 궁금하신 점은 언제든 말씀해주세요! 감사합니다:)"
"https://play-lh.googleusercontent.com/a-/ALV-UjU8nEGUZbELyx88gLfuX4Q9lvWy3qnmXGSepnz8bkWSqt5gllzJqA=s32-rw","임현주","2024년 1월 20일","넘넘 유용히 잘쓰고 있습니다. 계속 마지막에 결제완료 최종버튼을 안 눌러서 주문이 미스되는거만 빼면 넘넘 잘 쓰고 있어요💗 감사합니다.","","",""
"https://play-lh.googleusercontent.com/a-/ALV-UjU4ZznL1XWomUxty2vDe0jBoVZY08jN_vDafD42PAQ_dbBCL891=s32-rw","박덕수","2022년 1월 10일","너무 편리하게 미리 주문할 수 있어서 좋아요... 근데 아침 출근할 때 주문한다는게 잠이 덜깼는지 엉뚱한 곳 주문해서 경로가 아니라 못 받았네요.. ㅎㅎ 커피는 마시지 못했지만 잠은 잘 깼습니다! 앞으론 확인하고 주문하는 습관을 들이겠습니다!","PaytaLab","2022년 1월 18일","안녕하세요 박덕수 패써님. 패써지원팀 고민경입니다.

패스오더 서비스를 편하게 잘 이용하고 계신다니 정말 기쁩니다:)
단골 카페를 주로 이용하시는 경우라면, [자주가요] 기능을 통해 해당 매장을 보다 빠르게 이용가능하세요! 매장을 누른 뒤, 오른쪽 상단에 책갈피 아이콘을 클릭해주시면 저장이 완료됩니다.
또 다른 기능인 [재주문할게요] 버튼도 매일 마시는 메뉴를 간편하게 주문하실 수 있으니 서비스 이용에 참고하시면 좋겠습니다.

앞으로 꾸준히 패스오더 서비스를 향상해 대한민국 전 국민이 사용할 때까지 열심히 할게요. 지켜봐주세요:) 오늘도 좋은 하루 보내시기 바랍니다. 감사합니다.

-패스오더, 패써지원팀 고민경 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocLNKQfbVU6B5BtuKolpf8pR5fJIvWjfEUwlzUJ4eT0adjzvJA=s32-rw-mo","허은영","2022년 10월 13일","패스오더때문에 맞은편 단골집 버림 ㅎㅎ 기다리지 않고 너무 편합니다. 최근에는 포인트 적립도 되서 더 자주 사용할듯","","",""
"https://play-lh.googleusercontent.com/a/ACg8ocK2GG3PItpjxZHKWO1UPe0Nz1rkvbXwWh4h0R05PCRRr2QTPA=s32-rw-mo","안지혜 (셀프언니)","2026년 6월 2일","좋은 연결, 좋은 하루, 여유있는 한잔","PaytaLab","2026년 8월 3일","안녕하세요, 안지혜 (셀프언니) 패써님! 패스오더입니다.

시간 내어 소중한 칭찬 남겨주셔서 감사드립니다.
패써님의 만족이 저희에게는 정말 큰 보람이 된답니다.
앞으로도 커피 주문에는 당연하게 패스오더를 기억해주실 수 있도록 더 많이 노력하겠습니다.

무한하게 성장해 나가는 모습 꼭 지켜봐주시면 감사하겠습니다 :)

-패스오더 드림"
"https://play-lh.googleusercontent.com/a/ACg8ocIbdbg3y5mlvPaSkXxb44Z-b8bCxIwsOa-bbtPbccNxx3OB-Q=s32-rw-mo","김현관","2022년 9월 25일","기다릴 필요가 없어 좋은데 단 충전금액액이 5만원부터라 아쉽네요 추가 포인트를 작게주셔도 좋으니 충전금액을 내려줬으면 좋겠네요","PaytaLab","2022년 9월 28일","안녕하세요 김현관 패써님! 패스오더입니다.

간편 모바일 주문 서비스 패스오더를 이용해 보시고 좋은 리뷰 남겨 주셔서 감사드립니다. 말씀해 주신 것처럼 현재 패스머니 충전 금액대는 5만원/10만원 이렇게 두 가지로만 구성되어져 있는데요! 추후에는 조금 더 다양한 금액대로 패스머니를 보다 더 많은 분들이 편리하게 이용하실 수 있도록 논의해 볼 수 있도록 하겠습니다.

저희 서비스를 이용해 보시고 좋은 피드백 남겨 주심에 감사드리며, 언제나 패써님의 소리에 귀 기울여 시간이 갈수록 더 나아지는 서비스 제공을 위해 노력하는 모습 보여드릴 수 있도록 하겠습니다. 감사합니다 :)

-패스오더 드림"
"https://play-lh.googleusercontent.com/a-/ALV-UjUr8xa-d17FIMUEeVAXhyW--tg_p8lv9cktLQvV0sGjUSF6xU1q=s32-rw","김대원","2023년 11월 13일","유용하개 잘쓰고있어요 선주문이 이렇게 편하다는^^ 다만 포인트를 1원부터 쓸 수있으면 좋겠어요^^ 지금처럼 100원도 나쁘진 않고요","PaytaLab","2023년 11월 17일","안녕하세요, 김대원 패써님 패스오더입니다.

패스오더로 주문하면 기다리지 않고, 미리 주문-결제 가능하니 정말 편리하죠! 잘 이용해 주심에 너무 감사드리며, 지금 남겨 주신 이 마음이 변치 않으시도록 더 좋은 서비스 제공을 위해 노력하는 패스오더가 되겠습니다:)
또, 앱 내 매장 포인트는 각 매장 적립 정책에 따라 기준이 설정되어 모든 매장마다 기준이 상이하나 패스오더 포인트는 100P부터 사용 가능한데요! 사용 금액에 제한 없다면 더 편리하실 것 같아 해당 부분도 논의하고 보완해 나가겠습니다. 소중한 의견 감사드리며, 항상 패써님의 편리한 주문을 최우선으로 노력하겠습니다. 감사합니다!

-패스오더 드림"
